acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
6110081,2022-04-16T17:40:00Z,2022-04-17T06:43:00Z,สมุทรปราการ,Samut Prakan,department of highways,สำโรง - สะพานภูมิพล,4-wheel pickup truck,speeding,rear-end collision,3,0,1,clear,13.64939087,100.5622414,straight road,no slope
7510986,2022-04-16T19:20:00Z,2022-12-27T09:09:00Z,นนทบุรี,Nonthaburi,department of highways,ไม่ทราบ,private/passenger car,cutting in closely by people/vehicles/animals,pedestrian collision,1,1,0,clear,13.8488409,100.4360247,straight road,no slope
6111061,2022-04-16T19:30:00Z,2022-04-17T11:25:00Z,สมุทรปราการ,Samut Prakan,department of highways,สำโรง - สะพานภูมิพล,motorcycle,speeding,rear-end collision,2,0,1,clear,13.64485038,100.5851179,straight road,no slope
6566467,2022-04-16T20:07:00Z,2022-04-17T06:40:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 35 (กม.ที่ 35+000) - บ้านบางยาง,motorcycle,cutting in closely by people/vehicles/animals,other,2,1,0,clear,13.553188,100.212087,straight road,no slope
6110076,2022-04-16T20:10:00Z,2022-04-17T06:40:00Z,นนทบุรี,Nonthaburi,department of highways,สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,motorcycle,speeding,rear-end collision,2,0,4,clear,13.87543126,100.4290268,straight road,no slope
6566497,2022-04-17T02:15:00Z,2022-04-18T06:40:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 375 (กม.ที่ 12+000) - บ้านโคกวัด (ตอนสมุทรสาคร),motorcycle,speeding,other,1,1,0,clear,13.590201,100.099727,straight road,no slope
6566509,2022-04-17T05:40:00Z,2022-04-18T12:35:00Z,นครปฐม,Nakhon Pathom,department of rural roads,เทพนิมิต - บ้านลานตากฟ้า,motorcycle,abrupt lane change,other,2,0,1,clear,13.829307,100.295514,straight road,no slope
6115500,2022-04-17T11:45:00Z,2022-04-18T06:41:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,motorcycle,cutting in closely by people/vehicles/animals,rear-end collision,2,0,1,clear,13.52146263,100.6560141,straight road,no slope
6566537,2022-04-17T13:10:00Z,2022-04-18T12:36:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 9 (กม.ที่ 36+900) - คลองกำนันจิตร,motorcycle,speeding,other,1,0,1,rainy,13.879447,100.37524,sharp curve,no slope
6122570,2022-04-17T13:19:00Z,2022-04-19T12:16:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางปะอิน - แขวงรามอินทรา,private/passenger car,speeding,rear-end collision,3,0,0,clear,13.89083045,100.689598,straight road,no slope
